#year	season	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality
1990	3	1	1	11621.8	0.04	0	1	1	0	0.2
1991	3	1	1	9792.9	0.04	0	1	1	0	0.2
1992	3	1	1	5916.2	0.04	0	1	1	0	0.2
1993	3	1	1	9516.8	0.04	0	1	1	0	0.2
1996	3	1	1	3845.2	0.04	0	1	1	0	0.2
1997	3	1	1	3758.8	0.04	0	1	1	0	0.2
1998	3	1	1	15644.8	0.04	0	1	1	0	0.2
1999	3	1	1	12112.3	0.04	0	1	1	0	0.2
2000	3	1	1	6579.7	0.04	0	1	1	0	0.2
2001	3	1	1	5711.5	0.04	0	1	1	0	0.2
2002	3	1	1	6961.4	0.04	0	1	1	0	0.2
2003	3	1	1	12166.5	0.04	0	1	1	0	0.2
2004	3	1	1	10692.0	0.04	0	1	1	0	0.2
2005	3	1	1	13615.9	0.04	0	1	1	0	0.2
2006	3	1	1	9254.0	0.04	0	1	1	0	0.2
2007	3	1	1	13871.9	0.04	0	1	1	0	0.2
2008	3	1	1	14894.9	0.04	0	1	1	0	0.2
2009	3	1	1	12218.8	0.04	0	1	1	0	0.2
2010	3	1	1	10095.4	0.04	0	1	1	0	0.2
2011	3	1	1	5665.3	0.04	0	1	1	0	0.2
2012	3	1	1	4495.5	0.04	0	1	1	0	0.2
2013	3	1	1	5305.8	0.04	0	1	1	0	0.2
2014	3	1	1	8113.8	0.04	0	1	1	0	0.2
2015	3	1	1	6726.8	0.04	0	1	1	0	0.2
2016	3	1	1	5651.8	0.04	0	1	1	0	0.2
2017	3	1	1	4077.2	0.04	0	1	1	0	0.2
2018	3	1	1	3423.2	0.04	0	1	1	0	0.2
2019	3	1	1	3144.6	0.04	0	1	1	0	0.2
2020	3	1	1	2299.7	0.04	0	1	1	0	0.2
2021	3	1	1	33.8	0.04	0	1	1	0	0.2
2022	3	1	1	NA	0.04	0	1	1	0	0.2
